date,energy
2020-07-01,97.837
2020-07-02,173.898
2020-07-03,100.092
2020-07-04,46.683
2020-07-05,131.322
2020-07-06,87.062
2020-07-07,123.713
2020-07-08,17.647
2020-07-09,89.457
2020-07-10,97.798
2020-07-11,186.005
2020-07-12,55.704
2020-07-13,46.273
2020-07-14,104.196
2020-07-15,54.221000000000004
2020-07-16,68.158
2020-07-17,142.508
2020-07-18,99.729
2020-07-19,76.062
2020-07-20,72.391
2020-07-21,110.709
2020-07-22,52.941
2020-07-23,140.689
2020-07-24,164.578
2020-07-25,51.29
2020-07-26,78.359
2020-07-27,94.65599999999999
2020-07-28,104.83500000000001
2020-07-29,166.792
2020-07-30,96.526
2020-07-31,78.678
2020-08-01,71.626
2020-08-02,70.181
2020-08-03,69.191
2020-08-04,122.327
2020-08-05,52.539
2020-08-06,141.329
2020-08-07,128.341
2020-08-08,123.583
2020-08-09,147.912
2020-08-10,85.284
2020-08-11,72.419
2020-08-12,83.459
2020-08-13,106.449
2020-08-14,132.60399999999998
2020-08-15,117.25
2020-08-16,81.577
2020-08-17,99.246
2020-08-18,92.99300000000001
2020-08-19,127.098
2020-08-20,185.465
2020-08-21,89.663
2020-08-22,140.299
2020-08-23,167.793
2020-08-24,80.12899999999999
2020-08-25,42.636
2020-08-26,111.061
2020-08-27,79.238
2020-08-28,97.614
2020-08-29,180.841
2020-08-30,89.68
2020-08-31,219.181
2020-09-01,96.507
2020-09-02,145.374
2020-09-03,107.602
2020-09-04,153.687
2020-09-05,97.42699999999999
2020-09-06,77.257
2020-09-07,149.68200000000002
2020-09-08,59.875
2020-09-09,76.114
2020-09-10,120.739
2020-09-11,163.573
2020-09-12,194.841
2020-09-13,104.989
2020-09-14,92.301
2020-09-15,59.900999999999996
2020-09-16,221.317
2020-09-17,117.804
2020-09-18,137.493
2020-09-19,156.552
2020-09-20,114.776
2020-09-21,53.166
2020-09-22,84.89699999999999
2020-09-23,84.548
2020-09-24,145.171
2020-09-25,237.874
2020-09-26,55.124
2020-09-27,188.296
2020-09-28,130.442
2020-09-29,86.368
2020-09-30,89.87700000000001
2020-10-01,153.873
2020-10-02,109.565
2020-10-03,185.445
2020-10-04,219.44
2020-10-05,96.834
2020-10-06,85.542
2020-10-07,47.553
2020-10-08,154.285
2020-10-09,173.351
2020-10-10,136.736
2020-10-11,93.939
2020-10-12,66.349
2020-10-13,131.74099999999999
2020-10-14,156.734
2020-10-15,31.759999999999998
2020-10-16,88.794
2020-10-17,192.823
2020-10-18,87.03099999999999
2020-10-19,90.964
2020-10-20,100.85900000000001
2020-10-21,125.686
2020-10-22,92.14
2020-10-23,141.44
2020-10-24,191.777
2020-10-25,54.093
2020-10-26,41.442
2020-10-27,101.704
2020-10-28,133.464
2020-10-29,111.386
2020-10-30,215.369
2020-10-31,107.74600000000001
2020-11-01,100.485
2020-11-02,169.638
2020-11-03,176.52
2020-11-04,82.5
2020-11-05,71.92
2020-11-06,187.68200000000002
2020-11-07,170.854
2020-11-08,120.756
2020-11-09,55.777
2020-11-10,127.737
2020-11-11,99.45
2020-11-12,45.101
2020-11-13,106.976
2020-11-14,209.16400000000002
2020-11-15,114.329
2020-11-16,64.892
2020-11-17,66.933
2020-11-18,63.022
2020-11-19,100.065
2020-11-20,81.507
2020-11-21,136.108
2020-11-22,222.151
2020-11-23,84.366
2020-11-24,68.056
2020-11-25,109.32000000000001
2020-11-26,29.847
2020-11-27,74.694
2020-11-28,74.909
2020-11-29,106.846
2020-11-30,71.359
2020-12-01,55.081
2020-12-02,79.67099999999999
2020-12-03,154.37400000000002
2020-12-04,80.003
2020-12-05,145.342
2020-12-06,141.726
2020-12-07,10.581999999999999
2020-12-08,92.078
2020-12-09,71.931
2020-12-10,246.273
2020-12-11,22.651
2020-12-12,69.30499999999999
2020-12-13,97.844
2020-12-14,112.90599999999999
2020-12-15,66.439
2020-12-16,92.968
2020-12-17,78.833
2020-12-18,94.744
2020-12-19,164.348
2020-12-20,102.443
2020-12-21,79.861
2020-12-22,109.46000000000001
2020-12-23,100.319
2020-12-24,85.036
2020-12-25,37.509
2020-12-26,56.836
2020-12-27,142.721
2020-12-28,50.637
2020-12-29,86.809
2020-12-30,66.364
2020-12-31,56.266
2021-01-01,59.897999999999996
2021-01-02,112.78399999999999
2021-01-03,90.05
2021-01-04,80.063
2021-01-05,109.50099999999999
2021-01-06,148.853
2021-01-07,118.649
2021-01-08,188.087
2021-01-09,58.128
2021-01-10,115.373
2021-01-11,84.449
2021-01-12,111.789
2021-01-13,87.464
2021-01-14,96.05300000000001
2021-01-15,74.288
2021-01-16,118.331
2021-01-17,82.992
2021-01-18,58.614000000000004
2021-01-19,82.196
2021-01-20,85.597
2021-01-21,95.269
2021-01-22,109.806
2021-01-23,123.42699999999999
2021-01-24,98.118
2021-01-25,55.449000000000005
2021-01-26,65.25
2021-01-27,148.102
2021-01-28,168.836
2021-01-29,148.054
2021-01-30,107.188
2021-01-31,107.664
2021-02-01,81.274
